,AGENCY,PDATE,DDATE,LOR,MIN_DAILY_FARE,AVG_DAILY_FARE,MONTH_PDATE,DAY_PDATE
3896,AL,2019-01-05,2019-01-14,9,21.02777778,56.804360410448,01,05
10752,ZD,2019-01-05,2019-01-07,2,22.545,58.616306818182004,01,05
10740,ZL,2019-01-05,2019-01-14,9,54.85555556,82.61839402548999,01,05
5453,ZR,2019-01-05,2019-01-08,3,18.75333333,43.646603338169,01,05
10721,ET,2019-01-05,2019-01-10,5,27.956,67.317088888889,01,05
5580,ET,2019-01-05,2019-01-12,7,20.69571429,48.505669769122,01,05
9037,ET,2019-01-05,2019-01-07,2,23.965,64.198433048433,01,05
5619,ZE,2019-01-05,2019-01-11,6,25.61833333,53.341882972779,01,05
10741,ZD,2019-01-05,2019-01-14,9,26.00777778,48.59778405576299,01,05
5620,ZR,2019-01-05,2019-01-11,6,21.06833333,32.141578456657,01,05
3889,ZI,2019-01-05,2019-01-08,3,23.37666667,62.595908045707,01,05
3885,ZE,2019-01-05,2019-01-12,7,22.14714286,46.100628571282996,01,05
2076,ET,2019-01-05,2019-01-06,1,23.93,66.644242902208,01,05
2085,AL,2019-01-05,2019-01-12,7,22.22,46.842592594473,01,05
2179,ZD,2019-01-05,2019-01-11,6,31.51666667,55.079658240562,01,05
2180,ZD,2019-01-05,2019-01-12,7,27.19571429,47.486487396176,01,05
2208,AL,2019-01-05,2019-01-09,4,22.4475,64.357452380952,01,05
2217,ET,2019-01-05,2019-01-14,9,20.96,58.768108024333,01,05
3886,ZT,2019-01-05,2019-01-12,7,18.17285714,34.614821951349,01,05
2219,ZR,2019-01-05,2019-01-13,8,17.5125,39.552156160458004,01,05
2305,ZR,2019-01-05,2019-01-09,4,18.755,29.320380952381,01,05
12468,AL,2019-01-05,2019-01-13,8,21.55,57.418680167598,01,05
12467,ZL,2019-01-05,2019-01-13,8,55.37625,83.28681022409,01,05
12464,ZI,2019-01-05,2019-01-14,9,26.3,55.336644695819,01,05
